journal,issn,lastdate,Note
American Economic Journal: Applied Economics,1945-7790,2000-01-01,
American Economic Journal: Economic Policy,1945-774X,2000-01-01,
American Economic Journal: Macroeconomics,1945-7715,2000-01-01,
American Economic Journal: Microeconomics,1945-7685,2000-01-01,
The American Economic Review,1944-7981,2000-01-01,
The American Economic Review,0002-8282,2000-01-01,Print issn needed
Journal of Economic Literature,2328-8175,2000-01-01,
Journal of Economic Literature,0022-0515,2000-01-01,Print issn needed
Journal of Economic Perspectives,1944-7965,2000-01-01,
Journal of Economic Perspectives,0895-3309,2000-01-01,Print issn needed
American Economic Review: Insights,2640-2068,2000-01-01,
The Quarterly Journal of Economics,0033-5533,2000-01-01,
The Review of Economic Studies,0034-6527,2000-01-01,
Journal of Political Economy,0022-3808,2000-01-01,
The Economic Journal Oxford,0013-0133,2000-01-01,
